Product_Id,Rating,Review_Count
,4.1,61
,4.4,236
,4.3,0
,4.1,528
,4.7,38
,4.1,108
,4.6,46
,4.3,162
,,0
,4.1,61
,4.0,66
,4.3,0
,4.1,64
,4.3,15
,5.0,1
,4.2,392
,4.1,528
,4.5,0
,4.5,83
,,0
,4.3,87
,4.2,186
,4.3,169
,4.3,474
,3.9,75
,5.0,1
,5.0,6
,4.0,61
,5.0,3
,4.5,3
,4.0,48
,3.5,4
,3.5,6
,5.0,1
,4.4,17
,3.8,4
,4.1,181
,4.3,135
,4.4,12
,4.3,157
,4.7,4
,4.7,24
,4.0,88
,4.6,6
,4.5,58
,4.4,35
,4.1,100
,4.2,254
,4.2,41
,5.0,1
,4.4,236
,4.4,328
,4.5,2
,3.4,43
,,0
,,0
,4.5,153
,4.1,68
,4.0,75
,4.7,24
,3.2,3
,3.9,9
,5.0,3
,4.2,324
,3.7,67
,3.8,77
,4.2,43
,4.3,79
,4.4,695
,4.2,258
,4.4,462
,4.1,13
,4.5,402
,,0
,5.0,2
,4.3,474
,4.1,59
,3.6,12
,4.4,124
,4.1,55
,4.5,89
,4.7,6
,4.4,1903
,3.0,4
,4.5,1488
,4.2,11
,3.5,35
,4.2,122
,4.3,885
,4.1,99
,4.5,1843
,3.8,106
,4.3,75
,4.3,337
